time,price
1752960407.177,1.15838
1752960407.678,1.1584
1752960408.178,1.15839
1752960408.679,1.1584
1752960409.021,1.1584
1752960409.678,1.15841
1752960410.18,1.15842
1752960410.681,1.15843
1752960411.199,1.15842
1752960411.681,1.15843
1752960412.025,1.15843
1752960412.683,1.15845
1752960413.182,1.15847
1752960413.683,1.15844
1752960414.184,1.15842
1752960414.683,1.15843
1752960415.024,1.15843
1752960415.685,1.15844
1752960416.189,1.15845
1752960416.685,1.15849
1752960417.189,1.15848
1752960417.687,1.15848
1752960418.025,1.15848
1752960418.687,1.15848
1752960419.189,1.1585
1752960419.707,1.1585
1752960420.19,1.15853
1752960420.709,1.15856
1752960421.026,1.15856
1752960421.237,1.15855
1752960421.691,1.15853
1752960422.19,1.15854
1752960422.677,1.15856
1752960423.21,1.15855
1752960423.697,1.15854
1752960424.027,1.15854
1752960424.708,1.15849
1752960425.212,1.15847
1752960425.693,1.15848
1752960426.212,1.15849
1752960426.709,1.15847
1752960427.028,1.15847
1752960427.695,1.15846
1752960428.195,1.15845
1752960428.695,1.15846
1752960429.215,1.15845
1752960429.696,1.15845
1752960430.032,1.15845
1752960430.734,1.15848
1752960431.199,1.15846
1752960431.698,1.15847
1752960432.199,1.15848
1752960432.683,1.1585
1752960433.034,1.1585
1752960433.684,1.15837
1752960434.183,1.15839
1752960434.7,1.1584
1752960435.22,1.15841
1752960435.719,1.15844
1752960436.036,1.15844
1752960436.719,1.15846
1752960437.22,1.15842
1752960437.704,1.15842
1752960438.207,1.15842
1752960438.704,1.15841
1752960439.037,1.15841
1752960439.703,1.15844
1752960440.223,1.15842
1752960440.705,1.15841
1752960441.204,1.15843
1752960441.706,1.15843
1752960442.037,1.15843
1752960442.707,1.15847
1752960443.211,1.15849
1752960443.727,1.1585
1752960444.213,1.15849
1752960444.706,1.15848
1752960445.039,1.15848
1752960445.727,1.15847
1752960446.208,1.15845
1752960446.727,1.15847
1752960447.207,1.15848
1752960447.709,1.15846
1752960448.041,1.15846
1752960448.71,1.15849
1752960449.241,1.15851
1752960449.746,1.15852
1752960450.212,1.15863
1752960450.717,1.15864
1752960451.042,1.15864
1752960451.713,1.15868
1752960452.214,1.15872
1752960452.715,1.15865
1752960453.216,1.15863
1752960453.718,1.15861
1752960454.042,1.15861
1752960454.714,1.15858
1752960455.219,1.1586
1752960455.715,1.15858
